ID,region
5691,2
5692,2
6022,2
6023,2
6024,2
6025,2
6026,2
6027,2
6028,2
6029,2
6355,2
6356,2
6357,2
6358,2
6359,2
6360,2
6361,2
6362,2
6363,2
6689,2
6690,2
6691,2
6692,2
6693,2
6694,2
6695,2
6696,2
6697,2
7022,2
7023,2
7024,2
7025,2
7026,2
7027,2
7028,2
7029,2
7030,2
7354,2
7355,2
7356,2
7357,2
7358,2
7359,2
7360,2
7361,2
7362,2
7363,2
7687,2
7688,2
7689,2
7690,2
7691,2
7692,2
7693,2
7694,2
7696,2
8021,2
8022,2
8023,2
8024,2
8025,2
8026,2
8027,2
8355,2
8356,2
8357,2
8358,2
8359,2
8360,2
8362,2
8363,2
8364,2
8687,2
8688,2
8689,2
8690,2
8691,2
8692,2
8693,2
8694,2
8695,2
8696,2
8697,2
9020,2
9021,2
9022,2
9023,2
9024,2
9025,2
9026,2
9027,2
9028,2
9029,2
9353,2
9354,2
9355,2
9356,2
9357,2
9358,2
9359,2
9360,2
9361,2
9362,2
9363,2
9687,2
9688,2
9689,2
9690,2
9691,2
9692,2
9693,2
9694,2
9695,2
9697,2
9698,2
10022,2
10023,2
10024,2
10025,2
10026,2
10027,2
10028,2
10029,2
10030,2
10031,2
10355,2
10356,2
10357,2
10358,2
10359,2
10360,2
10361,2
10362,2
10363,2
10364,2
10365,2
10366,2
10691,2
10692,2
10693,2
10694,2
10695,2
10697,2
10699,2
11023,2
11024,2
11025,2
11026,2
11027,2
11028,2
11029,2
11030,2
11031,2
11032,2
11356,2
11357,2
11358,2
11359,2
11360,2
11361,2
11362,2
11363,2
11364,2
11365,2
11689,2
11690,2
11691,2
11692,2
11693,2
11694,2
11695,2
11696,2
11697,2
11698,2
11700,2
12023,2
12024,2
12025,2
12026,2
12027,2
12028,2
12029,2
12030,2
12031,2
12032,2
12033,2
12034,2
12359,2
12360,2
12361,2
12362,2
12363,2
12364,2
12365,2
12366,2
12367,2
12693,2
12694,2
12695,2
12696,2
12697,2
12698,2
12699,2
12700,2
12701,2
13026,2
13027,2
13028,2
13029,2
13030,2
13031,2
13032,2
13033,2
13034,2
13035,2
13350,2
13360,2
13361,2
13362,2
13363,2
13364,2
13365,2
13366,2
13367,2
13368,2
13683,2
13684,2
13685,2
13695,2
13696,2
13697,2
13698,2
13699,2
13700,2
13701,2
13702,2
14016,2
14017,2
14018,2
14030,2
14031,2
14032,2
14033,2
14034,2
14035,2
14349,2
14350,2
14351,2
14352,2
14363,2
14364,2
14365,2
14366,2
14367,2
14368,2
14682,2
14683,2
14684,2
14685,2
14686,2
14697,2
14698,2
14699,2
14700,2
14701,2
14702,2
14728,2
14729,2
15016,2
15017,2
15018,2
15019,2
15031,2
15032,2
15033,2
15034,2
15035,2
15036,2
15037,2
15038,2
15039,2
15061,2
15062,2
15063,2
15064,2
15065,2
15127,1
15128,1
15129,1
15130,1
15131,1
15349,2
15350,2
15351,2
15365,2
15366,2
15367,2
15368,2
15369,2
15370,2
15371,2
15393,2
15394,2
15395,2
15396,2
15397,2
15398,2
15456,1
15457,1
15458,1
15459,1
15460,1
15461,1
15462,1
15463,1
15464,1
15465,1
15466,1
15467,1
15468,1
15469,1
15699,2
15700,2
15701,2
15702,2
15703,2
15704,2
15705,2
15706,2
15707,2
15726,2
15727,2
15729,2
15730,2
15789,1
15790,1
15791,1
15792,1
15793,1
15794,1
15795,1
15796,1
15797,1
15798,1
15799,1
15800,1
15801,1
15802,1
15803,1
15804,1
16033,2
16034,2
16035,2
16036,2
16037,2
16038,2
16039,2
16040,2
16041,2
16062,2
16063,2
16120,1
16121,1
16122,1
16123,1
16124,1
16130,1
16131,1
16132,1
16133,1
16134,1
16135,1
16136,1
16137,1
16138,1
16139,1
16140,1
16143,1
16366,2
16367,2
16368,2
16369,2
16370,2
16371,2
16372,2
16373,2
16374,2
16375,2
16395,2
16396,2
16452,1
16453,1
16454,1
16455,1
16463,1
16464,1
16465,1
16466,1
16467,1
16468,1
16469,1
16470,1
16471,1
16472,1
16473,1
16474,1
16475,1
16476,1
16699,2
16700,2
16701,2
16702,2
16703,2
16704,2
16705,2
16706,2
16707,2
16708,2
16728,2
16729,2
16782,1
16783,1
16784,1
16785,1
16798,1
16799,1
16800,1
16801,1
16802,1
16803,1
16804,1
16805,1
16806,1
16807,1
16808,1
16809,1
16810,1
17028,2
17033,2
17034,2
17035,2
17036,2
17037,2
17038,2
17039,2
17040,2
17102,3
17115,1
17117,1
17123,1
17124,1
17134,1
17135,1
17136,1
17137,1
17138,1
17139,1
17140,1
17141,1
17142,1
17143,1
17144,1
17145,1
17362,2
17366,2
17367,2
17368,2
17369,2
17370,2
17371,2
17372,2
17373,2
17375,2
17376,2
17431,3
17432,3
17433,3
17434,3
17435,3
17436,3
17437,3
17438,3
17439,3
17440,3
17455,1
17456,1
17457,1
17473,1
17474,1
17475,1
17476,1
17477,1
17478,1
17479,1
17480,1
17700,2
17701,2
17702,2
17703,2
17704,2
17705,2
17706,2
17707,2
17708,2
17709,2
17760,3
17761,3
17762,3
17763,3
17764,3
17765,3
17766,3
17767,3
17768,3
17769,3
17770,3
17771,3
17772,3
17773,3
17807,1
17808,1
17809,1
17810,1
17811,1
17812,1
17813,1
17814,1
17815,1
17816,1
18032,2
18033,2
18034,2
18035,2
18036,2
18037,2
18038,2
18039,2
18040,2
18041,2
18092,3
18093,3
18094,3
18095,3
18096,3
18097,3
18098,3
18099,3
18100,3
18101,3
18102,3
18103,3
18104,3
18105,3
18106,3
18140,1
18141,1
18142,1
18143,1
18144,1
18145,1
18146,1
18147,1
18148,1
18149,1
18150,1
18151,1
18365,2
